seq,title,startDate,endDate,place,realmName,area,thumbnail,gpsX,gpsY
225141,피아노케 첫번째 콘서트 &lt;로미오와 줄리엣&gt;,20221022,20221022,대전 아트브릿지,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092915292958478.jpg,127.38256174,36.3659238264
223908,[야광명월(夜光明月)] 헤이스트링,20221022,20221022,서울돈화문국악당,국악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209211011357542.png,126.99066047282316,37.577277306497805
225261,이마리솔 바이올린 독주회,20221022,20221022,예술의전당 리사이틀홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209308551833050.jpg,127.01421162103271,37.48023893523679
225289,대전 지역 명소 야외 무료 공연 &#39;청아청아 내딸청아&#39; (10/22),20221022,20221022,대전예술의전당,연극,,http://www.culture.go.kr/upload/rdf/22/09/show_202209301281292397.jpg,127.38391077777076,36.36653770350843
223930,[야광명월(夜光明月)] 줄헤르츠,20221023,20221023,서울돈화문국악당,국악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209211013895729.png,126.99066047282316,37.577277306497805
223284,"""제7회 M 클래식 축제"" 데이비드 러셀 기타 리사이틀",20221023,20221023,마포아트센터 아트홀맥,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611354547147.jpg,126.94553370030141,37.54990185343695
225740,박찬호 바이올린 독주회,20221023,20221023,예술의전당 리사이틀홀,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100511554886641.jpg,127.01421162103271,37.48023893523679
223285,"""제7회 M 클래식 축제"" 박수예 바이올린 리사이틀",20221025,20221025,마포아트센터 아트홀맥,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611382549724.jpg,126.94553370030141,37.54990185343695
225501,문화가있는날 열린소극장 &#39;My Jazz Story&#39;,20221026,20221026,빛고을 아트스페이스,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100315321871980.png,126.90788886661521,35.14789929682744
226383,&lt;문화가 있는 날&gt; 10월 문화산책,20221026,20221026,비오케이아트센터,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100915132724766.png,127.30326998956302,36.492355992753936
225545,&lt;2022 경기도 문화의 날 [안양아트인 데이]  창작극 인터뷰&gt; - 안양,20221026,20221026,안양아트센터,연극,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100416244937588.png,126.931365106,37.3845877885
222964,햄릿광대 난장,20221026,20221030,대학로 선돌극장,연극,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091421251187738.jpg,126.99977638877492,37.58684172252058
224125,"여행 에세이 토크 콘서트 ""서초에서 시작하는 여행""",20221026,20221026,반포심산아트홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022092214443951997.jpg,126.990515657787,37.4988531475655
223286,"""제7회 M 클래식 축제"" 엠비언트 뮤직 콘서트 &lt;그대에게&gt;",20221026,20221026,마포아트센터 아트홀맥,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_2022091611405668045.jpg,126.94553370030141,37.54990185343695
221139,피아니스트 윤한과 함께하는 아침음악살롱 &lt;Salon de Baby&gt;,20221026,20221026,안산문화예술의전당,음악,,http://www.culture.go.kr/upload/rdf/22/08/show_2022083116354592969.jpg,126.82266447249432,37.32020715312146
222654,안녕하신가영 단독콘서트 &lt;좋아하는 마음&gt;,20221026,20221026,하남문화예술회관,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_202209131532883425.jpg,127.20754678304507,37.54462335733067
225713,대전시립합창단 제158회 정기연주회 &#39;회상回想... 그리고 그리움&#39;,20221027,20221027,대전예술의전당,음악,,http://www.culture.go.kr/upload/rdf/22/10/show_2022100515443799325.jpg,127.38391077777076,36.36653770350843
221312,이희문 쏭폼스토리즈 &lt;강남오아시스&gt;,20221027,20221106,세종문화회관 S씨어터,국악,,http://www.culture.go.kr/upload/rdf/22/09/show_20220919482610517.jpg,126.9751753283643,37.57279036498726
223433,"2022 재즈 페스타_Fall in Jazz ""U.BAR.E avec les amis""",20221027,20221027,반포심산아트홀,음악,,http://www.culture.go.kr/upload/rdf/22/09/show_20220916170627740.jpg,126.990515657787,37.4988531475655
221419,국립무용단 &lt;2022 무용극 호동&gt;,20221027,20221029,국립극장 해오름극장,무용,,http://www.culture.go.kr/upload/rdf/22/09/show_202209113281505917.gif,126.99972273658957,37.55239216032933
